Расходы бюджета города Москвы - всего;0;0;2 375 271 631 400,00;1 433 442 902 374,19;60,35
Уплата налога на имущество организаций;02Б1500000;0;2 325 000 000,00;1 422 055 359,80;61,16
Предоставление субсидий бюджетным, автономным учреждениям и иным некоммерческим организациям;02Б1500000;600;2 274 998 700,00;1 419 745 427,80;62,41
Субсидии бюджетным учреждениям;02Б1500000;610;1 961 390 900,00;1 400 575 423,50;71,41
Субсидии бюджетным учреждениям на иные цели;02Б1500000;612;1 961 390 900,00;1 400 575 423,50;71,41
Субсидии автономным учреждениям;02Б1500000;620;313 607 800,00;19 170 004,30;6,11
Субсидии автономным учреждениям на иные цели;02Б1500000;622;313 607 800,00;19 170 004,30;6,11
Иные бюджетные ассигнования;02Б1500000;800;50 001 300,00;2 309 932,00;4,62
Уплата налогов, сборов и иных платежей;02Б1500000;850;50 001 300,00;2 309 932,00;4,62
Уплата налога на имущество организаций и земельного налога;02Б1500000;851;50 001 300,00;2 309 932,00;4,62
Грант государственному унитарному производственному строительно-монтажному предприятию «Медпроектремстрой»;02Б1800000;0;125 464 000,00;37 812 100,00;30,14
Иные бюджетные ассигнования;02Б1800000;800;125 464 000,00;37 812 100,00;30,14
Субсидии юридическим лицам (кроме некоммерческих организаций), индивидуальным предпринимателям, физическим лицам – производителям товаров, работ, услуг;02Б1800000;810;125 464 000,00;37 812 100,00;30,14
Субсидии (гранты в форме субсидий) на финансовое обеспечение затрат в связи с производством (реализацией товаров), выполнением работ, оказанием услуг, порядком (правилами) предоставления которых установлено требование о последующем подтверждении их использования в соответствии с условиями и (или) целями предоставления;02Б1800000;812;125 464 000,00;37 812 100,00;30,14
Совершенствование оказания специализированной, включая высокотехнологичную, медицинской помощи, скорой, в том числе скорой специализированной, медицинской помощи, а также паллиативной помощи;02В0000000;0;84 874 607 900,00;44 913 721 826,68;52,92
Совершенствование оказания специализированной медицинской помощи в медицинских организациях государственной системы здравоохранения города Москвы;02В0100000;0;52 016 318 200,00;24 325 835 933,06;46,77
Реализация отдельных мероприятий по развитию здравоохранения;02В01R3820;0;640 638 700,00;86 223 028,56;13,46
Реализация мероприятий, связанных с закупкой диагностических средств для выявления и мониторинга лечения лиц, инфицированных вирусами иммунодефицита человека, в том числе в сочетании с вирусами гепатитов B и (или) C;02В01R3821;0;580 012 900,00;86 223 028,56;14,87
Закупка товаров, работ и услуг для обеспечения государственных (муниципальных) нужд;02В01R3821;200;580 012 900,00;86 223 028,56;14,87
Иные закупки товаров, работ и услуг для обеспечения государственных (муниципальных) нужд;02В01R3821;240;580 012 900,00;86 223 028,56;14,87
Прочая закупка товаров, работ и услуг;02В01R3821;244;580 012 900,00;86 223 028,56;14,87
Реализация мероприятий по профилактике ВИЧ-инфекции и гепатитов B и С;02В01R3822;0;60 625 800,00;;
Закупка товаров, работ и услуг для обеспечения государственных (муниципальных) нужд;02В01R3822;200;60 625 800,00;;
Иные закупки товаров, работ и услуг для обеспечения государственных (муниципальных) нужд;02В01R3822;240;60 625 800,00;;
Прочая закупка товаров, работ и услуг;02В01R3822;244;60 625 800,00;;
Реализация комплекса мер по развитию стационарных медицинских организаций государственной системы здравоохранения города Москвы;02В0100200;0;21 793 931 600,00;2 521 043 421,35;11,57
Капитальные вложения в объекты государственной (муниципальной) собственности;02В0100200;400;21 793 931 600,00;2 521 043 421,35;11,57
Бюджетные инвестиции;02В0100200;410;2 987 001 000,00;216 152 721,35;7,24
Бюджетные инвестиции в объекты капитального строительства государственной (муниципальной) собственности;02В0100200;414;2 987 001 000,00;216 152 721,35;7,24
Субсидии бюджетным и автономным учреждениям, государственным (муниципальным) унитарным предприятиям на осуществление капитальных вложений в объекты капитального строительства государственной (муниципальной) собственности или приобретение объектов недвижимого имущества в государственную (муниципальную) собственность;02В0100200;460;18 806 930 600,00;2 304 890 700,00;12,26
Субсидии на осуществление капитальных вложений в объекты капитального строительства государственной (муниципальной) собственности бюджетным учреждениям;02В0100200;464;10 404 930 600,00;2 304 890 700,00;22,15
Субсидии на осуществление капитальных вложений в объекты капитального строительства государственной (муниципальной) собственности государственным (муниципальным) унитарным предприятиям;02В0100200;466;8 402 000 000,00;;
Обеспечение содержания объектов капитального строительства - стационарных медицинских организаций государственной системы здравоохранения города Москвы (в том числе сетей инженерно-технического обеспечения) с даты оформления акта приемки объекта капитального строительства до даты оформления имущественных прав на объект капитального строительства;02В0100300;0;10 000 000,00;4 210 126,74;42,10
Закупка товаров, работ и услуг для обеспечения государственных (муниципальных) нужд;02В0100300;200;10 000 000,00;4 210 126,74;42,10
Иные закупки товаров, работ и услуг для обеспечения государственных (муниципальных) нужд;02В0100300;240;10 000 000,00;4 210 126,74;42,10
Прочая закупка товаров, работ и услуг;02В0100300;244;10 000 000,00;4 210 126,74;42,10
Субсидия унитарной некоммерческой организации Фонду международного медицинского кластера на финансовое обеспечение текущей деятельности и разработку концепции Фонда международного медицинского кластера;02В0100400;0;330 000 000,00;330 000 000,00;100,00
Предоставление субсидий бюджетным, автономным учреждениям и иным некоммерческим организациям;02В0100400;600;330 000 000,00;330 000 000,00;100,00
Субсидии некоммерческим организациям (за исключением государственных (муниципальных) учреждений);02В0100400;630;330 000 000,00;330 000 000,00;100,00
Субсидии (гранты в форме субсидий) на финансовое обеспечение затрат, порядком (правилами) предоставления которых установлено требование о последующем подтверждении их использования в соответствии с условиями и (или) целями предоставления;02В0100400;632;330 000 000,00;330 000 000,00;100,00
Субсидия унитарной некоммерческой организации Фонду международного медицинского кластера в качестве имущественного взноса города Москвы;02В0100500;0;2 890 700 000,00;2 890 700 000,00;100,00
Предоставление субсидий бюджетным, автономным учреждениям и иным некоммерческим организациям;02В0100500;600;2 890 700 000,00;2 890 700 000,00;100,00
Субсидии некоммерческим организациям (за исключением государственных (муниципальных) учреждений);02В0100500;630;2 890 700 000,00;2 890 700 000,00;100,00
Иные субсидии некоммерческим организациям (за исключением государственных (муниципальных) учреждений);02В0100500;634;2 890 700 000,00;2 890 700 000,00;100,00
Оказание государственными учреждениями государственных услуг, выполнение работ, финансовое обеспечение деятельности государственных казенных учреждений;02В0108100;0;21 571 164 900,00;15 348 328 865,40;71,15
Закупка товаров, работ и услуг для обеспечения государственных (муниципальных) нужд;02В0108100;200;1 621 792 600,00;741 880 777,40;45,74
Иные закупки товаров, работ и услуг для обеспечения государственных (муниципальных) нужд;02В0108100;240;1 621 792 600,00;741 880 777,40;45,74
Прочая закупка товаров, работ и услуг;02В0108100;244;1 621 792 600,00;741 880 777,40;45,74
Предоставление субсидий бюджетным, автономным учреждениям и иным некоммерческим организациям;02В0108100;600;19 949 372 300,00;14 606 448 088,00;73,22
Субсидии бюджетным учреждениям;02В0108100;610;19 949 372 300,00;14 606 448 088,00;73,22
Субсидии бюджетным учреждениям на финансовое обеспечение государственного (муниципального) задания на оказание государственных (муниципальных) услуг (выполнение работ);02В0108100;611;19 949 372 300,00;14 606 448 088,00;73,22
Приобретение государственными учреждениями оборудования и других основных средств;02В0108200;0;4 579 883 000,00;2 945 330 491,01;64,31
Закупка товаров, работ и услуг для обеспечения государственных (муниципальных) нужд;02В0108200;200;4 480 823 000,00;2 846 270 491,01;63,52
Иные закупки товаров, работ и услуг для обеспечения государственных (муниципальных) нужд;02В0108200;240;4 480 823 000,00;2 846 270 491,01;63,52
Прочая закупка товаров, работ и услуг;02В0108200;244;4 480 823 000,00;2 846 270 491,01;63,52
Предоставление субсидий бюджетным, автономным учреждениям и иным некоммерческим организациям;02В0108200;600;99 060 000,00;99 060 000,00;100,00
Субсидии бюджетным учреждениям;02В0108200;610;91 560 000,00;91 560 000,00;100,00
Субсидии бюджетным учреждениям на иные цели;02В0108200;612;91 560 000,00;91 560 000,00;100,00
Субсидии автономным учреждениям;02В0108200;620;7 500 000,00;7 500 000,00;100,00
Субсидии автономным учреждениям на иные цели;02В0108200;622;7 500 000,00;7 500 000,00;100,00
Проведение текущего ремонта государственными учреждениями;02В0108400;0;200 000 000,00;200 000 000,00;100,00
Предоставление субсидий бюджетным, автономным учреждениям и иным некоммерческим организациям;02В0108400;600;200 000 000,00;200 000 000,00;100,00
Субсидии бюджетным учреждениям;02В0108400;610;200 000 000,00;200 000 000,00;100,00
Субсидии бюджетным учреждениям на иные цели;02В0108400;612;200 000 000,00;200 000 000,00;100,00
Совершенствование системы оказания медицинской помощи больным туберкулезом;02В0200000;0;8 607 491 800,00;6 032 571 569,76;70,09
Реализация отдельных мероприятий по развитию здравоохранения;02В02R3820;0;269 060 200,00;58 661 498,14;21,80
Закупка товаров, работ и услуг для обеспечения государственных (муниципальных) нужд;02В02R3820;200;269 060 200,00;58 661 498,14;21,80
Иные закупки товаров, работ и услуг для обеспечения государственных (муниципальных) нужд;02В02R3820;240;269 060 200,00;58 661 498,14;21,80
Прочая закупка товаров, работ и услуг;02В02R3820;244;269 060 200,00;58 661 498,14;21,80
Оказание государственными учреждениями государственных услуг, выполнение работ, финансовое обеспечение деятельности государственных казенных учреждений;02В0208100;0;8 255 896 500,00;5 914 650 475,09;71,64
Закупка товаров, работ и услуг для обеспечения государственных (муниципальных) нужд;02В0208100;200;318 161 400,00;163 678 710,09;51,45
Иные закупки товаров, работ и услуг для обеспечения государственных (муниципальных) нужд;02В0208100;240;318 161 400,00;163 678 710,09;51,45
Прочая закупка товаров, работ и услуг;02В0208100;244;318 161 400,00;163 678 710,09;51,45
Предоставление субсидий бюджетным, автономным учреждениям и иным некоммерческим организациям;02В0208100;600;7 937 735 100,00;5 750 971 765,00;72,45
Субсидии бюджетным учреждениям;02В0208100;610;7 937 735 100,00;5 750 971 765,00;72,45
Субсидии бюджетным учреждениям на финансовое обеспечение государственного (муниципального) задания на оказание государственных (муниципальных) услуг (выполнение работ);02В0208100;611;7 937 735 100,00;5 750 971 765,00;72,45
Приобретение государственными учреждениями оборудования и других основных средств;02В0208200;0;82 535 100,00;59 259 596,53;71,80
Закупка товаров, работ и услуг для обеспечения государственных (муниципальных) нужд;02В0208200;200;59 835 100,00;36 559 596,53;61,10
Иные закупки товаров, работ и услуг для обеспечения государственных (муниципальных) нужд;02В0208200;240;59 835 100,00;36 559 596,53;61,10
Прочая закупка товаров, работ и услуг;02В0208200;244;59 835 100,00;36 559 596,53;61,10
Предоставление субсидий бюджетным, автономным учреждениям и иным некоммерческим организациям;02В0208200;600;22 700 000,00;22 700 000,00;100,00
Субсидии бюджетным учреждениям;02В0208200;610;22 700 000,00;22 700 000,00;100,00
Субсидии бюджетным учреждениям на иные цели;02В0208200;612;22 700 000,00;22 700 000,00;100,00
Предоставление услуг по оказанию специализированной высокотехнологичной медицинской помощи, не включенной в базовую программу обязательного медицинского страхования;02В03R4020;0;5 796 210 000,00;4 118 229 164,92;71,05
Закупка товаров, работ и услуг для обеспечения государственных (муниципальных) нужд;02В03R4020;200;2 107 208 900,00;429 228 121,92;20,37
Иные закупки товаров, работ и услуг для обеспечения государственных (муниципальных) нужд;02В03R4020;240;2 107 208 900,00;429 228 121,92;20,37
Прочая закупка товаров, работ и услуг;02В03R4020;244;2 107 208 900,00;429 228 121,92;20,37
Предоставление субсидий бюджетным, автономным учреждениям и иным некоммерческим организациям;02В03R4020;600;3 689 001 100,00;3 689 001 043,00;100,00
Субсидии бюджетным учреждениям;02В03R4020;610;3 670 024 500,00;3 670 024 493,00;100,00
Субсидии бюджетным учреждениям на иные цели;02В03R4020;612;3 670 024 500,00;3 670 024 493,00;100,00
Субсидии автономным учреждениям;02В03R4020;620;18 976 600,00;18 976 550,00;100,00
Субсидии автономным учреждениям на иные цели;02В03R4020;622;18 976 600,00;18 976 550,00;100,00
Предоставление услуг по оказанию специализированной высокотехнологичной медицинской помощи, не включенной в базовую программу обязательного медицинского страхования;02В0300000;0;2 897 254 300,00;2 236 190 438,71;77,18
Закупка товаров, работ и услуг для обеспечения государственных (муниципальных) нужд;02В0300000;200;27 717 400,00;27 403 538,71;98,87
Иные закупки товаров, работ и услуг для обеспечения государственных (муниципальных) нужд;02В0300000;240;27 717 400,00;27 403 538,71;98,87
Прочая закупка товаров, работ и услуг;02В0300000;244;27 717 400,00;27 403 538,71;98,87
Межбюджетные трансферты;02В0300000;500;2 643 000 000,00;1 982 250 000,00;75,00
Межбюджетные трансферты бюджетам территориальных фондов обязательного медицинского страхования;02В0300000;580;2 643 000 000,00;1 982 250 000,00;75,00
Предоставление субсидий бюджетным, автономным учреждениям и иным некоммерческим организациям;02В0300000;600;226 536 900,00;226 536 900,00;100,00
Субсидии бюджетным учреждениям;02В0300000;610;226 536 900,00;226 536 900,00;100,00
Субсидии бюджетным учреждениям на иные цели;02В0300000;612;226 536 900,00;226 536 900,00;100,00
Совершенствование оказания скорой, в том числе скорой специализированной, медицинской помощи;02В0400000;0;5 325 964 500,00;3 396 184 551,28;63,77
Реализация мероприятий по развитию службы скорой медицинской помощи города Москвы;02В0400200;0;1 255 742 200,00;412 854 647,96;32,88
Капитальные вложения в объекты государственной (муниципальной) собственности;02В0400200;400;1 255 742 200,00;412 854 647,96;32,88
Бюджетные инвестиции;02В0400200;410;799 524 500,00;156 636 947,96;19,59
Бюджетные инвестиции в объекты капитального строительства государственной (муниципальной) собственности;02В0400200;414;799 524 500,00;156 636 947,96;19,59
Субсидии бюджетным и автономным учреждениям, государственным (муниципальным) унитарным предприятиям на осуществление капитальных вложений в объекты капитального строительства государственной (муниципальной) собственности или приобретение объектов недвижимого имущества в государственную (муниципальную) собственность;02В0400200;460;456 217 700,00;256 217 700,00;56,16
Субсидии на осуществление капитальных вложений в объекты капитального строительства государственной (муниципальной) собственности государственным (муниципальным) унитарным предприятиям;02В0400200;466;456 217 700,00;256 217 700,00;56,16
Обеспечение содержания объектов капитального строительства - подстанций скорой медицинской помощи (в том числе сетей инженерно-технического обеспечения) с даты оформления акта приемки объекта капитального строительства до даты оформления имущественных прав на объект капитального строительства;02В0400300;0;12 551 800,00;1 894 073,69;15,09
Закупка товаров, работ и услуг для обеспечения государственных (муниципальных) нужд;02В0400300;200;12 551 800,00;1 894 073,69;15,09
Иные закупки товаров, работ и услуг для обеспечения государственных (муниципальных) нужд;02В0400300;240;12 551 800,00;1 894 073,69;15,09
Прочая закупка товаров, работ и услуг;02В0400300;244;12 551 800,00;1 894 073,69;15,09
Оказание государственными учреждениями государственных услуг, выполнение работ, финансовое обеспечение деятельности государственных казенных учреждений;02В0408100;0;3 901 670 500,00;2 908 780 535,00;74,55
Предоставление субсидий бюджетным, автономным учреждениям и иным некоммерческим организациям;02В0408100;600;3 901 670 500,00;2 908 780 535,00;74,55
Субсидии бюджетным учреждениям;02В0408100;610;3 901 670 500,00;2 908 780 535,00;74,55
Субсидии бюджетным учреждениям на финансовое обеспечение государственного (муниципального) задания на оказание государственных (муниципальных) услуг (выполнение работ);02В0408100;611;3 901 670 500,00;2 908 780 535,00;74,55
Приобретение государственными учреждениями оборудования и других основных средств;02В0408200;0;156 000 000,00;72 655 294,63;46,57
Закупка товаров, работ и услуг для обеспечения государственных (муниципальных) нужд;02В0408200;200;156 000 000,00;72 655 294,63;46,57
Иные закупки товаров, работ и услуг для обеспечения государственных (муниципальных) нужд;02В0408200;240;156 000 000,00;72 655 294,63;46,57
Прочая закупка товаров, работ и услуг;02В0408200;244;156 000 000,00;72 655 294,63;46,57
Совершенствование системы оказания паллиативной помощи взрослым жителям города Москвы;02В0500000;0;3 088 931 900,00;2 211 791 879,16;71,60
Оказание государственными учреждениями государственных услуг, выполнение работ, финансовое обеспечение деятельности государственных казенных учреждений;02В0508100;0;3 031 537 400,00;2 178 538 983,23;71,86
Закупка товаров, работ и услуг для обеспечения государственных (муниципальных) нужд;02В0508100;200;89 389 800,00;43 923 098,98;49,14
Иные закупки товаров, работ и услуг для обеспечения государственных (муниципальных) нужд;02В0508100;240;89 389 800,00;43 923 098,98;49,14
Прочая закупка товаров, работ и услуг;02В0508100;244;89 389 800,00;43 923 098,98;49,14
Предоставление субсидий бюджетным, автономным учреждениям и иным некоммерческим организациям;02В0508100;600;2 942 147 600,00;2 134 615 884,25;72,55
Субсидии бюджетным учреждениям;02В0508100;610;2 942 147 600,00;2 134 615 884,25;72,55
Субсидии бюджетным учреждениям на финансовое обеспечение государственного (муниципального) задания на оказание государственных (муниципальных) услуг (выполнение работ);02В0508100;611;2 942 147 600,00;2 134 615 884,25;72,55
Приобретение государственными учреждениями оборудования и других основных средств;02В0508200;0;57 394 500,00;33 252 895,93;57,94
Закупка товаров, работ и услуг для обеспечения государственных (муниципальных) нужд;02В0508200;200;57 394 500,00;33 252 895,93;57,94
Иные закупки товаров, работ и услуг для обеспечения государственных (муниципальных) нужд;02В0508200;240;57 394 500,00;33 252 895,93;57,94
Прочая закупка товаров, работ и услуг;02В0508200;244;57 394 500,00;33 252 895,93;57,94
Развитие службы крови и ее компонентов;02В0600000;0;2 998 145 400,00;2 189 199 007,00;73,02
Оказание государственными учреждениями государственных услуг, выполнение работ, финансовое обеспечение деятельности государственных казенных учреждений;02В0608100;0;2 998 145 400,00;2 189 199 007,00;73,02
Социальное обеспечение и иные выплаты населению;02В0608100;300;606 117 800,00;398 135 900,00;65,69
Социальные выплаты гражданам, кроме публичных нормативных социальных выплат;02В0608100;320;606 117 800,00;398 135 900,00;65,69
Пособия, компенсации и иные социальные выплаты гражданам, кроме публичных нормативных обязательств;02В0608100;321;606 117 800,00;398 135 900,00;65,69
Предоставление субсидий бюджетным, автономным учреждениям и иным некоммерческим организациям;02В0608100;600;2 392 027 600,00;1 791 063 107,00;74,88
Субсидии бюджетным учреждениям;02В0608100;610;2 392 027 600,00;1 791 063 107,00;74,88
Субсидии бюджетным учреждениям на финансовое обеспечение государственного (муниципального) задания на оказание государственных (муниципальных) услуг (выполнение работ);02В0608100;611;2 392 027 600,00;1 791 063 107,00;74,88
Развитие службы трансплантации;02В0700000;0;269 716 900,00;201 891 169,00;74,85
Реализация отдельных мероприятий по развитию здравоохранения;02В07R3820;0;170 660 000,00;127 598 500,00;74,77
Предоставление субсидий бюджетным, автономным учреждениям и иным некоммерческим организациям;02В07R3820;600;170 660 000,00;127 598 500,00;74,77
Субсидии бюджетным учреждениям;02В07R3820;610;170 660 000,00;127 598 500,00;74,77
Субсидии бюджетным учреждениям на финансовое обеспечение государственного (муниципального) задания на оказание государственных (муниципальных) услуг (выполнение работ);02В07R3820;611;170 660 000,00;127 598 500,00;74,77
Оказание государственными учреждениями государственных услуг, выполнение работ, финансовое обеспечение деятельности государственных казенных учреждений;02В0708100;0;99 056 900,00;74 292 669,00;75,00
Предоставление субсидий бюджетным, автономным учреждениям и иным некоммерческим организациям;02В0708100;600;99 056 900,00;74 292 669,00;75,00
Субсидии бюджетным учреждениям;02В0708100;610;99 056 900,00;74 292 669,00;75,00
Субсидии бюджетным учреждениям на финансовое обеспечение государственного (муниципального) задания на оказание государственных (муниципальных) услуг (выполнение работ);02В0708100;611;99 056 900,00;74 292 669,00;75,00
Реализация мероприятий по комплексному оснащению, включая проектирование и монтаж, медицинских организаций государственной системы здравоохранения города Москвы локальными вычислительными сетями (ЛВС) и структурированными кабельными системами (СКС);02В0800000;0;3 724 574 900,00;51 828 113,79;1,39
Закупка товаров, работ и услуг для обеспечения государственных (муниципальных) нужд;02В0800000;200;3 724 574 900,00;51 828 113,79;1,39
Иные закупки товаров, работ и услуг для обеспечения государственных (муниципальных) нужд;02В0800000;240;3 724 574 900,00;51 828 113,79;1,39
Прочая закупка товаров, работ и услуг;02В0800000;244;3 724 574 900,00;51 828 113,79;1,39
Грант Федеральному государственному бюджетному учреждению здравоохранения Центральной клинической больнице Российской академии наук на укрепление и развитие материально-технической базы;02В0900000;0;150 000 000,00;150 000 000,00;100,00
Предоставление субсидий бюджетным, автономным учреждениям и иным некоммерческим организациям;02В0900000;600;150 000 000,00;150 000 000,00;100,00
Субсидии бюджетным учреждениям;02В0900000;610;150 000 000,00;150 000 000,00;100,00
Гранты в форме субсидии бюджетным учреждениям;02В0900000;613;150 000 000,00;150 000 000,00;100,00
Охрана здоровья матери и ребенка;02Г0000000;0;7 550 928 500,00;5 193 243 712,68;68,78
Реализация программ неонатального, аудиологического и пренатального скрининга;02Г0300000;0;879 445 100,00;326 181 200,63;37,09
Оказание медицинских услуг неонатального скрининга;02Г0300100;0;299 900 000,00;75 636 404,00;25,22
Закупка товаров, работ и услуг для обеспечения государственных (муниципальных) нужд;02Г0300100;200;269 700 000,00;52 981 544,00;19,64
Иные закупки товаров, работ и услуг для обеспечения государственных (муниципальных) нужд;02Г0300100;240;269 700 000,00;52 981 544,00;19,64
Прочая закупка товаров, работ и услуг;02Г0300100;244;269 700 000,00;52 981 544,00;19,64
Предоставление субсидий бюджетным, автономным учреждениям и иным некоммерческим организациям;02Г0300100;600;30 200 000,00;22 654 860,00;75,02
Субсидии бюджетным учреждениям;02Г0300100;610;30 200 000,00;22 654 860,00;75,02
Субсидии бюджетным учреждениям на финансовое обеспечение государственного (муниципального) задания на оказание государственных (муниципальных) услуг (выполнение работ);02Г0300100;611;30 200 000,00;22 654 860,00;75,02
Оказание медицинских услуг аудиологического скрининга;02Г0300200;0;2 340 000,00;2 194 745,72;93,79
Закупка товаров, работ и услуг для обеспечения государственных (муниципальных) нужд;02Г0300200;200;2 340 000,00;2 194 745,72;93,79
Иные закупки товаров, работ и услуг для обеспечения государственных (муниципальных) нужд;02Г0300200;240;2 340 000,00;2 194 745,72;93,79
Прочая закупка товаров, работ и услуг;02Г0300200;244;2 340 000,00;2 194 745,72;93,79
Оказание медицинских услуг пренатального скрининга;02Г0300300;0;276 105 100,00;203 400 000,00;73,67
Закупка товаров, работ и услуг для обеспечения государственных (муниципальных) нужд;02Г0300300;200;4 905 100,00;;
Иные закупки товаров, работ и услуг для обеспечения государственных (муниципальных) нужд;02Г0300300;240;4 905 100,00;;
Прочая закупка товаров, работ и услуг;02Г0300300;244;4 905 100,00;;
Межбюджетные трансферты;02Г0300300;500;271 200 000,00;203 400 000,00;75,00
Межбюджетные трансферты бюджетам территориальных фондов обязательного медицинского страхования;02Г0300300;580;271 200 000,00;203 400 000,00;75,00
Приобретение государственными учреждениями оборудования и других основных средств;02Г0308200;0;301 100 000,00;44 950 050,91;14,93
Закупка товаров, работ и услуг для обеспечения государственных (муниципальных) нужд;02Г0308200;200;301 100 000,00;44 950 050,91;14,93
Иные закупки товаров, работ и услуг для обеспечения государственных (муниципальных) нужд;02Г0308200;240;301 100 000,00;44 950 050,91;14,93
Прочая закупка товаров, работ и услуг;02Г0308200;244;301 100 000,00;44 950 050,91;14,93
Оказание медицинской помощи детям медицинскими организациями государственной системы здравоохранения города Москвы в стационарных условиях;02Г0400000;0;4 621 254 000,00;3 631 109 470,14;78,57
Оказание государственными учреждениями государственных услуг, выполнение работ, финансовое обеспечение деятельности государственных казенных учреждений;02Г0408100;0;3 529 344 000,00;2 781 857 861,82;78,82
Закупка товаров, работ и услуг для обеспечения государственных (муниципальных) нужд;02Г0408100;200;292 029 500,00;252 230 259,82;86,37
Иные закупки товаров, работ и услуг для обеспечения государственных (муниципальных) нужд;02Г0408100;240;292 029 500,00;252 230 259,82;86,37
Прочая закупка товаров, работ и услуг;02Г0408100;244;292 029 500,00;252 230 259,82;86,37
Предоставление субсидий бюджетным, автономным учреждениям и иным некоммерческим организациям;02Г0408100;600;3 237 314 500,00;2 529 627 602,00;78,14
Субсидии бюджетным учреждениям;02Г0408100;610;3 237 314 500,00;2 529 627 602,00;78,14
Субсидии бюджетным учреждениям на финансовое обеспечение государственного (муниципального) задания на оказание государственных (муниципальных) услуг (выполнение работ);02Г0408100;611;2 793 714 500,00;2 086 027 602,00;74,67
Субсидии бюджетным учреждениям на иные цели;02Г0408100;612;443 600 000,00;443 600 000,00;100,00
Приобретение государственными учреждениями оборудования и других основных средств;02Г0408200;0;1 091 910 000,00;849 251 608,32;77,78
Закупка товаров, работ и услуг для обеспечения государственных (муниципальных) нужд;02Г0408200;200;671 910 000,00;429 251 608,32;63,89
Иные закупки товаров, работ и услуг для обеспечения государственных (муниципальных) нужд;02Г0408200;240;671 910 000,00;429 251 608,32;63,89
Прочая закупка товаров, работ и услуг;02Г0408200;244;671 910 000,00;429 251 608,32;63,89
Предоставление субсидий бюджетным, автономным учреждениям и иным некоммерческим организациям;02Г0408200;600;420 000 000,00;420 000 000,00;100,00
Субсидии бюджетным учреждениям;02Г0408200;610;420 000 000,00;420 000 000,00;100,00
Субсидии бюджетным учреждениям на иные цели;02Г0408200;612;420 000 000,00;420 000 000,00;100,00
Реализация комплекса мер по развитию медицинских организаций государственной системы здравоохранения города Москвы в области материнства и детства;02Г0500000;0;1 209 799 400,00;968 846 967,31;80,08
Реализация мероприятий по развитию медицинских организаций государственной системы здравоохранения города Москвы в области материнства и детства;02Г0500200;0;1 199 799 400,00;968 846 967,31;80,75
Капитальные вложения в объекты государственной (муниципальной) собственности;02Г0500200;400;1 199 799 400,00;968 846 967,31;80,75
Бюджетные инвестиции;02Г0500200;410;232 769 400,00;1 816 967,31;0,78
Бюджетные инвестиции в объекты капитального строительства государственной (муниципальной) собственности;02Г0500200;414;232 769 400,00;1 816 967,31;0,78
Субсидии бюджетным и автономным учреждениям, государственным (муниципальным) унитарным предприятиям на осуществление капитальных вложений в объекты капитального строительства государственной (муниципальной) собственности или приобретение объектов недвижимого имущества в государственную (муниципальную) собственность;02Г0500200;460;967 030 000,00;967 030 000,00;100,00
Субсидии на осуществление капитальных вложений в объекты капитального строительства государственной (муниципальной) собственности бюджетным учреждениям;02Г0500200;464;967 030 000,00;967 030 000,00;100,00
Реализация мероприятий по развитию Государственного бюджетного учреждения здравоохранения города Москвы «Морозовская детская городская клиническая больница Департамента здравоохранения города Москвы»;02Г0500300;0;10 000 000,00;;
